sales_id,store_id,sku_id,week,units_sold,price,revenue,promo_active,expected_units
1,1001,KEL001,2024-03-17,5,5.49,27.45,False,4.79
2,1001,KEL001,2024-03-24,5,5.49,27.45,False,4.79
3,1001,KEL001,2024-03-31,4,5.49,21.96,False,4.79
4,1001,KEL001,2024-04-07,5,5.49,27.45,False,4.79
5,1001,KEL001,2024-04-14,5,5.49,27.45,False,4.79
6,1001,KEL001,2024-04-21,4,5.49,21.96,False,4.79
7,1001,KEL001,2024-04-28,5,5.49,27.45,False,4.79
8,1001,KEL001,2024-05-05,4,5.49,21.96,False,4.79
9,1001,KEL001,2024-05-12,6,5.49,32.94,True,6.22
10,1001,KEL001,2024-05-19,7,5.49,38.43,True,6.22
11,1001,KEL001,2024-05-26,6,5.49,32.94,True,6.22
12,1001,KEL001,2024-06-02,6,5.49,32.94,True,6.22
13,1001,KEL001,2024-06-09,6,5.49,32.94,True,6.22
14,1001,KEL001,2024-06-16,4,5.49,21.96,False,4.79
15,1001,KEL001,2024-06-23,5,5.49,27.45,False,4.79
16,1001,KEL001,2024-06-30,5,5.49,27.45,False,4.79
17,1001,KEL002,2024-03-17,5,5.99,29.95,False,4.54
18,1001,KEL002,2024-03-24,4,5.99,23.96,False,4.54
19,1001,KEL002,2024-03-31,4,5.99,23.96,False,4.54
20,1001,KEL002,2024-04-07,4,5.99,23.96,False,4.54
21,1001,KEL002,2024-04-14,4,5.99,23.96,False,4.54
22,1001,KEL002,2024-04-21,4,5.99,23.96,False,4.54
23,1001,KEL002,2024-04-28,4,5.99,23.96,False,4.54
24,1001,KEL002,2024-05-05,4,5.99,23.96,False,4.54
25,1001,KEL002,2024-05-12,4,5.99,23.96,False,4.54
26,1001,KEL002,2024-05-19,4,5.99,23.96,False,4.54
27,1001,KEL002,2024-05-26,4,5.99,23.96,False,4.54
28,1001,KEL002,2024-06-02,4,5.99,23.96,False,4.54
29,1001,KEL002,2024-06-09,4,5.99,23.96,False,4.54
30,1001,KEL002,2024-06-16,4,5.99,23.96,False,4.54
31,1001,KEL002,2024-06-23,4,5.99,23.96,False,4.54
32,1001,KEL002,2024-06-30,4,5.99,23.96,False,4.54
33,1001,KEL003,2024-03-17,4,6.49,25.96,False,4.33
34,1001,KEL003,2024-03-24,4,6.49,25.96,False,4.33
35,1001,KEL003,2024-03-31,4,6.49,25.96,False,4.33
36,1001,KEL003,2024-04-07,5,6.49,32.45,False,4.33
37,1001,KEL003,2024-04-14,5,6.49,32.45,False,4.33
38,1001,KEL003,2024-04-21,4,6.49,25.96,False,4.33
39,1001,KEL003,2024-04-28,4,6.49,25.96,False,4.33
40,1001,KEL003,2024-05-05,4,6.49,25.96,False,4.33
41,1001,KEL003,2024-05-12,4,6.49,25.96,False,4.33
42,1001,KEL003,2024-05-19,4,6.49,25.96,False,4.33
43,1001,KEL003,2024-05-26,4,6.49,25.96,False,4.33
44,1001,KEL003,2024-06-02,4,6.49,25.96,False,3.68
45,1001,KEL003,2024-06-09,3,6.49,19.47,False,3.68
46,1001,KEL003,2024-06-16,4,6.49,25.96,False,3.68
47,1001,KEL003,2024-06-23,4,6.49,25.96,False,3.68
48,1001,KEL003,2024-06-30,3,6.49,19.47,False,3.68
49,1001,KEL004,2024-03-17,5,5.99,29.95,False,4.54
50,1001,KEL004,2024-03-24,4,5.99,23.96,False,4.54
51,1001,KEL004,2024-03-31,5,5.99,29.95,False,4.54
52,1001,KEL004,2024-04-07,4,5.99,23.96,False,4.54
53,1001,KEL004,2024-04-14,4,5.99,23.96,False,4.54
54,1001,KEL004,2024-04-21,4,5.99,23.96,False,4.54
55,1001,KEL004,2024-04-28,4,5.99,23.96,False,4.54
56,1001,KEL004,2024-05-05,4,5.99,23.96,False,4.54
57,1001,KEL004,2024-05-12,4,5.99,23.96,False,4.54
58,1001,KEL004,2024-05-19,4,5.99,23.96,False,4.54
59,1001,KEL004,2024-05-26,4,5.99,23.96,False,4.54
60,1001,KEL004,2024-06-02,5,5.99,29.95,False,4.54
61,1001,KEL004,2024-06-09,4,5.99,23.96,False,4.54
62,1001,KEL004,2024-06-16,4,5.99,23.96,False,4.54
63,1001,KEL004,2024-06-23,4,5.99,23.96,False,4.54
64,1001,KEL004,2024-06-30,5,5.99,29.95,False,4.54
65,1001,KEL005,2024-03-17,5,5.49,27.45,False,4.79
66,1001,KEL005,2024-03-24,4,5.49,21.96,False,4.79
67,1001,KEL005,2024-03-31,4,5.49,21.96,False,4.79
68,1001,KEL005,2024-04-07,4,5.49,21.96,False,4.79
69,1001,KEL005,2024-04-14,4,5.49,21.96,False,4.79
70,1001,KEL005,2024-04-21,5,5.49,27.45,False,4.79
71,1001,KEL005,2024-04-28,5,5.49,27.45,False,4.79
72,1001,KEL005,2024-05-05,5,5.49,27.45,False,4.79
73,1001,KEL005,2024-05-12,5,5.49,27.45,False,4.79
