opportunity_id,store_id,sku_id,issue_type,root_cause,opportunity_value,priority_score,detected_date
1,1001,KEL001,event_opportunity,near_Nelson Jazz Festival,0.0,0.0,2024-06-30
2,1001,KEL002,event_opportunity,near_Nelson Jazz Festival,3.23,2.26,2024-06-30
3,1001,KEL003,event_opportunity,near_Nelson Jazz Festival,4.41,3.09,2024-06-30
4,1001,KEL004,event_opportunity,near_Nelson Jazz Festival,0.0,0.0,2024-06-30
5,1001,KEL005,event_opportunity,near_Nelson Jazz Festival,0.0,0.0,2024-06-30
6,1001,KEL006,event_opportunity,near_Nelson Jazz Festival,0.0,0.0,2024-06-30
7,1001,KEL007,event_opportunity,near_Nelson Jazz Festival,0.0,0.0,2024-06-30
8,1001,KEL008,out_of_stock,product_oos,27.19,27.19,2024-06-30
9,1001,KEL008,event_opportunity,near_Nelson Jazz Festival,27.19,19.03,2024-06-30
10,1001,KEL009,event_opportunity,near_Nelson Jazz Festival,1.55,1.08,2024-06-30
11,1001,KEL010,event_opportunity,near_Nelson Jazz Festival,1.53,1.07,2024-06-30
12,1001,KEL011,event_opportunity,near_Nelson Jazz Festival,0.38,0.27,2024-06-30
13,1001,KEL012,event_opportunity,near_Nelson Jazz Festival,0.35,0.24,2024-06-30
14,1001,KEL013,event_opportunity,near_Nelson Jazz Festival,0.0,0.0,2024-06-30
15,1001,KEL014,event_opportunity,near_Nelson Jazz Festival,0.0,0.0,2024-06-30
16,1001,KEL015,event_opportunity,near_Nelson Jazz Festival,0.0,0.0,2024-06-30
17,1001,KEL016,event_opportunity,near_Nelson Jazz Festival,0.0,0.0,2024-06-30
18,1001,KEL017,event_opportunity,near_Nelson Jazz Festival,6.78,4.75,2024-06-30
19,1001,KEL018,out_of_stock,product_oos,17.52,17.52,2024-06-30
20,1001,KEL018,shelf_compliance,low_shelf_facings,17.52,13.14,2024-06-30
21,1001,KEL018,event_opportunity,near_Nelson Jazz Festival,17.52,12.26,2024-06-30
22,1001,KEL019,event_opportunity,near_Nelson Jazz Festival,0.0,0.0,2024-06-30
23,1001,KEL020,out_of_stock,product_oos,24.12,24.12,2024-06-30
24,1001,KEL020,shelf_compliance,low_shelf_facings,24.12,18.09,2024-06-30
25,1001,KEL020,promotion_execution,missing_display,24.12,20.5,2024-06-30
26,1001,KEL020,event_opportunity,near_Nelson Jazz Festival,24.12,16.88,2024-06-30
27,1002,KEL001,out_of_stock,product_oos,37.83,37.83,2024-06-30
28,1002,KEL001,shelf_compliance,low_shelf_facings,37.83,28.37,2024-06-30
29,1002,KEL001,promotion_execution,missing_display,37.83,32.16,2024-06-30
30,1002,KEL001,event_opportunity,near_Homegrown Festival W,37.83,26.48,2024-06-30
31,1002,KEL002,promotion_execution,missing_display,3.17,2.69,2024-06-30
32,1002,KEL002,event_opportunity,near_Homegrown Festival W,3.17,2.22,2024-06-30
33,1002,KEL003,out_of_stock,product_oos,34.33,34.33,2024-06-30
34,1002,KEL003,shelf_compliance,low_shelf_facings,34.33,25.75,2024-06-30
35,1002,KEL003,promotion_execution,missing_display,34.33,29.18,2024-06-30
36,1002,KEL003,event_opportunity,near_Homegrown Festival W,34.33,24.03,2024-06-30
37,1002,KEL004,event_opportunity,near_Homegrown Festival W,5.03,3.52,2024-06-30
38,1002,KEL005,event_opportunity,near_Homegrown Festival W,1.43,1.0,2024-06-30
39,1002,KEL006,shelf_compliance,low_shelf_facings,11.02,8.27,2024-06-30
40,1002,KEL006,event_opportunity,near_Homegrown Festival W,11.02,7.71,2024-06-30
41,1002,KEL007,shelf_compliance,low_shelf_facings,14.47,10.85,2024-06-30
42,1002,KEL007,promotion_execution,missing_display,14.47,12.3,2024-06-30
43,1002,KEL007,event_opportunity,near_Homegrown Festival W,14.47,10.13,2024-06-30
44,1002,KEL008,out_of_stock,product_oos,39.11,39.11,2024-06-30
45,1002,KEL008,shelf_compliance,low_shelf_facings,39.11,29.33,2024-06-30
46,1002,KEL008,promotion_execution,missing_display,39.11,33.24,2024-06-30
47,1002,KEL008,event_opportunity,near_Homegrown Festival W,39.11,27.38,2024-06-30
48,1002,KEL009,event_opportunity,near_Homegrown Festival W,7.19,5.03,2024-06-30
49,1002,KEL010,shelf_compliance,low_shelf_facings,11.67,8.75,2024-06-30
50,1002,KEL010,promotion_execution,missing_display,11.67,9.92,2024-06-30
51,1002,KEL010,event_opportunity,near_Homegrown Festival W,11.67,8.17,2024-06-30
52,1002,KEL011,shelf_compliance,low_shelf_facings,4.67,3.5,2024-06-30
53,1002,KEL011,promotion_execution,missing_display,4.67,3.97,2024-06-30
54,1002,KEL011,event_opportunity,near_Homegrown Festival W,4.67,3.27,2024-06-30
55,1002,KEL012,event_opportunity,near_Homegrown Festival W,11.23,7.86,2024-06-30
56,1002,KEL013,out_of_stock,product_oos,34.57,34.57,2024-06-30
57,1002,KEL013,shelf_compliance,low_shelf_facings,34.57,25.93,2024-06-30
58,1002,KEL013,promotion_execution,missing_display,34.57,29.38,2024-06-30
59,1002,KEL013,event_opportunity,near_Homegrown Festival W,34.57,24.2,2024-06-30
60,1002,KEL014,event_opportunity,near_Homegrown Festival W,5.03,3.52,2024-06-30
61,1002,KEL015,event_opportunity,near_Homegrown Festival W,9.83,6.88,2024-06-30
62,1002,KEL016,event_opportunity,near_Homegrown Festival W,0.58,0.41,2024-06-30
63,1002,KEL017,promotion_execution,missing_display,0.0,0.0,2024-06-30
64,1002,KEL017,event_opportunity,near_Homegrown Festival W,0.0,0.0,2024-06-30
65,1002,KEL018,shelf_compliance,low_shelf_facings,1.29,0.97,2024-06-30
66,1002,KEL018,promotion_execution,missing_display,1.29,1.1,2024-06-30
67,1002,KEL018,event_opportunity,near_Homegrown Festival W,1.29,0.9,2024-06-30
68,1002,KEL019,event_opportunity,near_Homegrown Festival W,0.7,0.49,2024-06-30
69,1002,KEL020,out_of_stock,product_oos,41.66,41.66,2024-06-30
70,1002,KEL020,shelf_compliance,low_shelf_facings,41.66,31.24,2024-06-30
71,1002,KEL020,promotion_execution,missing_display,41.66,35.41,2024-06-30
72,1002,KEL020,event_opportunity,near_Homegrown Festival W,41.66,29.16,2024-06-30
73,1003,KEL001,shelf_compliance,low_shelf_facings,3.9,2.92,2024-06-30
74,1003,KEL001,promotion_execution,missing_display,3.9,3.31,2024-06-30
75,1003,KEL001,event_opportunity,near_Queenstown Winter Fe,3.9,2.73,2024-06-30
76,1003,KEL002,promotion_execution,missing_display,2.82,2.4,2024-06-30
77,1003,KEL002,event_opportunity,near_Queenstown Winter Fe,2.82,1.97,2024-06-30
78,1003,KEL003,event_opportunity,near_Queenstown Winter Fe,2.27,1.59,2024-06-30
79,1003,KEL004,event_opportunity,near_Queenstown Winter Fe,2.22,1.55,2024-06-30
80,1003,KEL005,out_of_stock,product_oos,25.86,25.86,2024-06-30
81,1003,KEL005,shelf_compliance,low_shelf_facings,25.86,19.39,2024-06-30
82,1003,KEL005,promotion_execution,missing_display,25.86,21.98,2024-06-30
83,1003,KEL005,event_opportunity,near_Queenstown Winter Fe,25.86,18.1,2024-06-30
84,1003,KEL006,event_opportunity,near_Queenstown Winter Fe,2.22,1.55,2024-06-30
85,1003,KEL007,event_opportunity,near_Queenstown Winter Fe,0.71,0.5,2024-06-30
86,1003,KEL008,event_opportunity,near_Queenstown Winter Fe,8.21,5.75,2024-06-30
87,1003,KEL009,shelf_compliance,low_shelf_facings,6.19,4.64,2024-06-30
88,1003,KEL009,promotion_execution,missing_display,6.19,5.26,2024-06-30
89,1003,KEL009,event_opportunity,near_Queenstown Winter Fe,6.19,4.33,2024-06-30
90,1003,KEL010,event_opportunity,near_Queenstown Winter Fe,1.89,1.32,2024-06-30
91,1003,KEL011,event_opportunity,near_Queenstown Winter Fe,4.45,3.11,2024-06-30
92,1003,KEL012,event_opportunity,near_Queenstown Winter Fe,4.94,3.46,2024-06-30
93,1003,KEL013,out_of_stock,product_oos,26.49,26.49,2024-06-30
94,1003,KEL013,event_opportunity,near_Queenstown Winter Fe,26.49,18.54,2024-06-30
95,1003,KEL014,event_opportunity,near_Queenstown Winter Fe,1.44,1.01,2024-06-30
96,1003,KEL015,out_of_stock,product_oos,22.23,22.23,2024-06-30
97,1003,KEL015,promotion_execution,missing_display,22.23,18.9,2024-06-30
98,1003,KEL015,event_opportunity,near_Queenstown Winter Fe,22.23,15.56,2024-06-30
99,1003,KEL016,event_opportunity,near_Queenstown Winter Fe,5.21,3.65,2024-06-30
100,1003,KEL017,event_opportunity,near_Queenstown Winter Fe,5.03,3.52,2024-06-30
101,1003,KEL018,shelf_compliance,low_shelf_facings,2.99,2.24,2024-06-30
102,1003,KEL018,event_opportunity,near_Queenstown Winter Fe,2.99,2.09,2024-06-30
103,1003,KEL019,promotion_execution,missing_display,0.0,0.0,2024-06-30
104,1003,KEL019,event_opportunity,near_Queenstown Winter Fe,0.0,0.0,2024-06-30
105,1003,KEL020,event_opportunity,near_Queenstown Winter Fe,0.0,0.0,2024-06-30
106,1004,KEL001,event_opportunity,near_Palmerston North Rug,0.0,0.0,2024-06-30
107,1004,KEL002,out_of_stock,product_oos,50.2,50.2,2024-06-30
108,1004,KEL002,promotion_execution,missing_display,50.2,42.67,2024-06-30
109,1004,KEL002,event_opportunity,near_Palmerston North Rug,50.2,35.14,2024-06-30
110,1004,KEL003,out_of_stock,product_oos,44.07,44.07,2024-06-30
111,1004,KEL003,promotion_execution,missing_display,44.07,37.46,2024-06-30
112,1004,KEL003,event_opportunity,near_Palmerston North Rug,44.07,30.85,2024-06-30
113,1004,KEL004,promotion_execution,missing_display,2.28,1.94,2024-06-30
114,1004,KEL004,event_opportunity,near_Palmerston North Rug,2.28,1.6,2024-06-30
115,1004,KEL005,promotion_execution,missing_display,10.05,8.54,2024-06-30
116,1004,KEL005,event_opportunity,near_Palmerston North Rug,10.05,7.04,2024-06-30
117,1004,KEL006,promotion_execution,missing_display,2.28,1.94,2024-06-30
118,1004,KEL006,event_opportunity,near_Palmerston North Rug,2.28,1.6,2024-06-30
119,1004,KEL007,event_opportunity,near_Palmerston North Rug,0.0,0.0,2024-06-30
120,1004,KEL008,shelf_compliance,low_shelf_facings,8.27,6.2,2024-06-30
121,1004,KEL008,promotion_execution,missing_display,8.27,7.03,2024-06-30
122,1004,KEL008,event_opportunity,near_Palmerston North Rug,8.27,5.79,2024-06-30
123,1004,KEL009,promotion_execution,missing_display,0.0,0.0,2024-06-30
124,1004,KEL009,event_opportunity,near_Palmerston North Rug,0.0,0.0,2024-06-30
125,1004,KEL010,event_opportunity,near_Palmerston North Rug,0.0,0.0,2024-06-30
126,1004,KEL011,event_opportunity,near_Palmerston North Rug,5.54,3.88,2024-06-30
127,1004,KEL012,event_opportunity,near_Palmerston North Rug,1.1,0.77,2024-06-30
